region_name,year,dotations,dotations_equalization,other_dotations,subsidies,subventions,other_transfers,PST,ln_population,Urbanization,ln_grp_pc,ln_grp_pc_L1,grp_growth,russian_share,republic,turnout,UR,Putin,closeness_centrality,patronaged,t1,log_growth,delta_PST,closeness_centr,mean_closeness_centr,mean_patronaged,mean_t1,mean_ln_population,mean_ln_grp_pc_L1,mean_log_growth,mean_Urbanization,mean_UR,mean_turnout,mean_Putin
Алтайский край,2012,3.268912814696619,4.189237259782701,0.3940039687115249,1.628296281128296,1.693043051787861,1.123677387795614,1.405372613668864,14.68570792603184,55.4,12.68209872355978,12.65801167136304,2.437948849409133,93.92766264596298,0,52.5,37.2,57.35,0.965778843948438,1.0,0.0,0.0240870521967409,,9.657788439484381,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2013,3.216495584833071,4.239677569542018,0.9539220710724782,2.033705195965968,1.652329983180903,0.8686834607027011,1.74591257337371,14.67787674727795,55.77,12.73776723172783,12.68209872355978,5.72471568445756,93.92766264596298,0,52.5,37.2,57.35,0.96707818930041,1.0,0.0,0.0556685081680488,0.34053995970484596,9.6707818930041,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2014,2.472423996521513,3.733269227542543,0.8116293186193996,1.719621844391593,1.620869507823977,4.818806665149576,1.315622325937542,14.67054867087306,56.09,12.74908732940227,12.73776723172783,1.138441243412669,93.92766264596298,0,52.5,37.2,57.35,0.9569888262367435,1.0,0.0,0.011320097674440532,-0.43029024743616806,9.569888262367435,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2015,2.765658862848845,3.248485184059293,1.314902182353841,1.986458440348389,1.577928837743792,3.394681822603544,1.794784806835845,14.66318234843091,56.37,12.76144119335545,12.74908732940227,1.243048814029213,93.92766264596298,0,52.5,37.2,57.35,0.9560433632970701,1.0,0.0,0.012353863953180166,0.47916248089830304,9.560433632970701,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2016,2.869229960455264,3.349997785462986,1.121645520188781,1.844187450093277,1.668770096068239,0.7779824666298543,1.641022996759522,14.65462430538822,56.57,12.75994890054464,12.76144119335545,-0.1491179895563022,93.92766264596298,0,52.5,37.2,57.35,0.9776962321039215,1.0,0.0,-0.00149229281081098,-0.15376181007632295,9.776962321039216,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2017,3.182856808608261,3.758969233586331,0.7118774008496933,1.321614375835093,1.597426018654068,0.5096720296409015,1.167632062803037,14.64434355870215,56.77,12.77720526096713,12.75994890054464,1.740611155640104,93.92766264596298,0,40.8,35.2,57.35,0.9863010880627017,1.0,0.0,0.01725636042248979,-0.473390933956485,9.863010880627016,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2018,3.314238636334727,4.307622621699122,1.670455481788401,1.615915907097147,1.613986682939813,0.8184503497368002,1.643312102527867,14.63259468883473,57.06,12.80875675813073,12.77720526096713,3.20545221077535,93.92766264596298,0,40.8,35.2,57.35,0.9223309736829312,1.0,0.0,0.03155149716360128,0.47568003972483,9.22330973682931,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2019,3.218906997637507,4.057756919541226,0.9197354190999384,1.588053463480253,1.669180287540635,0.9228824936405823,1.383770287783869,14.6206940712461,57.39,12.84339686268885,12.80875675813073,3.524706104804132,93.92766264596298,0,40.8,35.2,64.66,0.5784306943888942,1.0,1.0,0.034640104558119944,-0.25954181474399807,5.784306943888941,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2020,2.866958537906916,4.181081679088221,1.252166707189215,1.749844261657502,1.500232213041842,1.217813974514563,1.567841155465892,14.60785263576082,57.72,12.84719755352198,12.84339686268885,0.3807922617557136,93.92766264596298,0,40.8,35.2,64.66,0.5822791552306273,1.0,0.0,0.0038006908331293943,0.18407086768202308,5.822791552306273,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2021,3.387315323216353,4.11001345497383,1.668833440893254,1.73970619496631,1.570852885623692,1.279626989072503,1.725406602935169,14.59206554712006,58.06,12.89931657141014,12.84719755352198,5.350112053064193,93.92766264596298,0,40.8,35.2,64.66,0.5880556065679317,1.0,0.0,0.05211901788815965,0.15756544746927692,5.8805560656793165,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
