region_name,year,dotations,dotations_equalization,other_dotations,subsidies,subventions,other_transfers,PST,ln_population,Urbanization,ln_grp_pc,ln_grp_pc_L1,grp_growth,russian_share,republic,turnout,UR,Putin,closeness_centrality,patronaged,t1,ln_PST,ln_subsidies,ln_other_dotations,ln_dotations_equalization,ln_subventions,ln_other_transfers,log_growth,delta_PST,closeness_centr,mean_closeness_centr,mean_patronaged,mean_t1,mean_ln_population,mean_ln_grp_pc_L1,mean_log_growth,mean_Urbanization,mean_UR,mean_turnout,mean_Putin
Алтайский край,2012,12677.30011834557,12306.76744376789,370.5326745776855,6947.245590965694,3569.630678791341,1878.565088148292,7317.778265543379,14.68570792603184,55.4,12.68209872355978,12.65801167136304,2.437948849409133,93.92766264596298,0,52.5,37.2,57.35,0.965778843948438,1.0,0.0,8.898062045249015,8.846100542157501,5.914941631340667,9.417904588737027,8.180217418103275,7.538263513414715,0.0240870521967409,,9.657788439484381,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2013,13704.10835341078,12438.5028257864,1265.605527624379,7425.296164864707,3189.019096366154,607.5846424451398,8690.901692489086,14.67787674727795,55.77,12.73776723172783,12.68209872355978,5.72471568445756,93.92766264596298,0,52.5,37.2,57.35,0.96707818930041,1.0,0.0,9.070031974958123,8.91264785039928,7.1433059645958075,9.428552007425445,8.067468655190986,6.409491494637105,0.0556685081680488,0.17196992970910863,9.6707818930041,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2014,12121.33891800178,10404.14056603153,1717.198351970256,4538.782304433345,3189.953318073591,5231.342285249832,6255.980656403602,14.67054867087306,56.09,12.74908732940227,12.73776723172783,1.138441243412669,93.92766264596298,0,52.5,37.2,57.35,0.9569888262367435,1.0,0.0,8.74129319021327,8.420414040176826,7.4484493766307835,9.249959137245394,8.067761561839085,8.562423175229103,0.011320097674440532,-0.3287387847448535,9.569888262367435,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2015,10164.49286225385,8957.76686377282,1206.725998481033,4564.228267794805,3002.911927245526,4376.310176398227,5770.954266275838,14.66318234843091,56.37,12.76144119335545,12.74908732940227,1.243048814029213,93.92766264596298,0,52.5,37.2,57.35,0.9560433632970701,1.0,0.0,8.660592729930967,8.426004724585518,7.0956661849548075,9.100276240951107,8.00733773929668,8.38396122285088,0.012353863953180166,-0.08070046028230315,9.560433632970701,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2016,10173.98398794465,9315.89393549774,858.0900524469132,3606.763712317795,3018.417947924816,966.1551370586822,4464.853764764708,14.65462430538822,56.57,12.75994890054464,12.76144119335545,-0.1491179895563022,93.92766264596298,0,52.5,37.2,57.35,0.9776962321039215,1.0,0.0,8.403991741321786,8.190566170667354,6.754709050212276,9.139477245741668,8.012488114804174,6.873324418687377,-0.00149229281081098,-0.2566009886091809,9.776962321039216,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2017,12861.83758625233,12317.94539322427,543.8921930280633,2988.633455136098,2778.178899586725,535.151540838249,3532.525648164161,14.64434355870215,56.77,12.77720526096713,12.75994890054464,1.740611155640104,93.92766264596298,0,40.8,35.2,57.35,0.9863010880627017,1.0,0.0,8.169768375159121,8.00257152349482,6.298751052636,9.418812453149345,7.929550919940107,6.282549960690463,0.01725636042248979,-0.2342233661626647,9.863010880627016,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2018,17735.85943063463,14368.55123878252,3367.308191852103,3227.307716211691,2770.33846361123,1415.968524994964,6594.615908063794,14.63259468883473,57.06,12.80875675813073,12.77720526096713,3.20545221077535,93.92766264596298,0,40.8,35.2,57.35,0.9223309736829312,1.0,0.0,8.794008823586385,8.079403544249425,8.121868948043787,9.572797155534218,7.9267247807462375,7.255569045895716,0.03155149716360128,0.6242404484272637,9.22330973682931,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2019,15079.38026164381,13927.60875831429,1151.771503329523,4517.379244105888,3364.612236564698,2703.26681789857,5669.150747435411,14.6206940712461,57.39,12.84339686268885,12.80875675813073,3.524706104804132,93.92766264596298,0,40.8,35.2,64.66,0.5784306943888942,1.0,1.0,8.6427946055099,8.415687291418662,7.049056473778076,9.541628390754397,8.12106800113415,7.902216253168939,0.034640104558119944,-0.15121421807648439,5.784306943888941,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2020,18320.38726348309,14730.30261151708,3590.084651966007,8701.669100750922,4463.200929632689,5108.528645007003,12291.75375271693,14.60785263576082,57.72,12.84719755352198,12.84339686268885,0.3807922617557136,93.92766264596298,0,40.8,35.2,64.66,0.5822791552306273,1.0,0.0,9.416683889915713,9.071270136902715,8.185931061139144,9.597662053136833,8.403621484819675,8.53866670533826,0.0038006908331293943,0.7738892844058132,5.822791552306273,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
Алтайский край,2021,15898.40480779404,13579.57943301885,2318.825374775181,9563.5199160752,3753.951982120268,5541.123378537882,11882.34529085038,14.59206554712006,58.06,12.89931657141014,12.84719755352198,5.350112053064193,93.92766264596298,0,40.8,35.2,64.66,0.5880556065679317,1.0,0.0,9.382808988487595,9.16571113033746,7.748816032469003,9.516322431046879,8.230564425940583,8.619952535094438,0.05211901788815965,-0.033874901428118775,5.8805560656793165,8.48098297281967,1.0,0.1,14.644949049966584,12.76249114852617,0.02413049000470995,56.720000000000006,36.2,46.65,59.543000000000006
